,Tweet
439,@LeoLady80268576 @JavedKh40158228 @United_World__ Meri walida ka sehat card per ilaj hoa ha ap kesy apni munafiqat sy is bat ko jhoota keh sakti han
440,@United_World__ Meny apny taya abu ka Bypass CABG kraya hai totally free on sehat card
441,@draffanqaiser @Dr_YasminRashid @ImranKhanPTI Sehat card still working???????
442,@imdad_soomro This is how u ruin system n on social media win the war.. where is sehat card now ..who will pay for that ..another circular debt in place
443,@SaleemKhanSafi lafafi sehat card chalo karwao langr khany open karwao petrol sasta krwao bashan na do
444,@Entangled007 @Cardio_Hafeez @SaleemKhanSafi @babaksardar @SamarHBilour @ydakp_official @BBhuttoZardari @MaryamNSharif @ImranKhanPTI how ur govt hospital structure day bye day going to weak and sehat card full profitable for Insurance companies and pvt hospitals it means  for a normal treatment  they charged double  from govt so profit goes to again pvt hospitals  mine friend confess he is from kpk
445,"@HamidMirPAK Sehat card ,free khany sy ghareeb awam ko atty ke lino main lgwany walo Allah tabah kry tomhy"
446,"@United_World__ Sehat Card was a blessing for the people of Pakistan
First time ever a fundamental right was given to the people"
447,@NaeemKh95704945 @bitjunior798 @SalihaFarooq007 @United_World__ Sehat card sab sy pehly kpk me launch hua imran khan ki government me https://t.co/69w1JaNCHA
448,@Cardio_Hafeez @SaleemKhanSafi @babaksardar @SamarHBilour @ydakp_official @BBhuttoZardari @MaryamNSharif @ImranKhanPTI Private hospital offering treatment on sehat card is the best option..
449,@draffanqaiser @Dr_YasminRashid @ImranKhanPTI We are doing ercp in bilal hospital on sehat card
450,"We hope this Pakistan day brings nothing but progress and glory for our country and nation. 

#PakistanZindabad #Pakistan #PakistanDay #YaumePakistan #يوم_پاکستان #sehatcard #Lahore #punjab #Rawalpindi #faisalabad #multan #dgkhan #sahiwal #Bahawalpur #Gujranwala #sargodha https://t.co/uD1UpCEw7v"
451,"@WaheedAhmedPTI Bhai iss news ko confirm kryn, sehat card khatam hochuka ya chal raha ha?? https://t.co/YadnGKnKCs"
452,"apa sih, dahlah 2023 masih aja dendam sama keluarga padahal sepupu anjinggg cuman masalah harta aja smpe rusak ikatan keluarga gblk najis smpe ke aku jg kena padahal aku comment di sosmednya cuman tanya ""opg(kakek) kurang sehat"" langsung di roasting suami istri.."
453,@rehmanubaid33 @United_World__ Punjab mn bhi chal rha ha Sehat Card abi tk?
454,"@United_World__ Pata nahi mangne k liye ye log kaise kaise tareeqy nikal lete hain..
Sehat insaf card khatam ho chuka ha.."
455,@AbDmeHar009 @draffanqaiser @Dr_YasminRashid @ImranKhanPTI hr operation hota h sehat card pr
456,@ImranRiazKhan Impoted hakumat ny awam ko 10 lakh k sehat card sy 10kg atty py laa k khra kr dia hy or log khty hin k mulaq taraki kr rha hy had hy ya to
457,"@siscaaleehz Happy Birthday my sweetie boy ❤️ Tetap sehat dan selalu bahagia yaa, mogaa semakin banyak lagi yang sayang sama renjun dan karya karya renjun semakin bertambah. Thank you for being born ❤️❤️❤️

Want renjun birthday card 🥺 wml

#Golden323RenjunDay
#그리고_또있지또있지_런쥔이_생일 https://t.co/bMkUeeQE4d"
458,@tanyakanrl ingat teman syarat berpuasa adalah berakal sehat. *activate spell card (sekedar mengingatkan🙏)
459,"I just returned 3000 Rs that the patient had paid for USG and blood tests before operation. Her id card was verified under sehat Sahulat program later today. 
What a Win for PTI. What a win for poor needy patients."
460,"In April 2022, Pakistani Citizens Used To Have Sehat Card Worth 10 Lakhs

In March 2023, Pakistani Citizens Are Fighting For 10 KG Flour

This Is What We Call Tandeeli"
461,"Today, we celebrate a day that marks the historic resolution passed in 1940, which ultimately led to the creation of our beloved Pakistan. Let us take a moment to remember the sacrifices made by our forefathers and appreciate the immense beauty and diversity of our nation. https://t.co/ohU4z1A40f"
462,"عمران خان کے صحت کارڈ پر میرا لاکھوں کا آپریشن ہوا، میں نے خان صاحب کے لیے 6 بار ختمِ قرآن پاک کرایا۔

عمران خان کے ساتھ اس ملک کے بزرگوں کی دعائیں ہیں!
#Sehatcard https://t.co/CNtNfVWHfi"
463,@A68790 @OfficialShehr Jb niaz ki hkoooomat thi ata b mil ra tha ehsas card sehat card wazeefay lngr khn sb apki kutta hkoomt pdm or ne stya nas kia hy rahi sahi ksr unhon ne pdm ka sth de k poori krdi bhaar mn jao pdm wlo
464,"@BBhuttoZardari 
Ask someone to read the below post to you. It's about Sehat Card. It is not a drama."
465,"@MaleehaHashmey @USMANME88512866 I can add only 3...

Performance in COVID-19

Sehat Card

Most Important, Stance against Islamophobia"
466,"@MaryamNSharif Madam ap ko ilaj ki zarorat hai,IK k sehat sahulat card se Kisi ache Fountain house mai admit hojain"
467,"We hope this Pakistan day brings nothing but progress and glory for our country and nation. 

#PakistanZindabad #Pakistan #PakistanDay #YaumePakistan #يوم_پاکستان #sehatcard #Lahore #punjab #Rawalpindi #faisalabad #multan #dgkhan #sahiwal #Bahawalpur #Gujranwala #sargodha https://t.co/MMCfVXJu3N"
468,@MaleehaHashmey @USMANME88512866 Coming to your answers.. Imran just renamed it. Check it when this sehat card was started and who started it.
469,"@siscaaleehz Renjun.. semoga kamu sehat selalu yaa, semoga bahagia terus, semoga karir mu lancar terus, semoga selalu di kelilingi oleh hal hal baik dan orang orang yang baik, semoga makin banyak yang sayang sama kamu 💛💛
Bismillah mau birthday card renjun https://t.co/WafwQ34j6G"
470,"Because Nida 
A- people have seen and suffered at the hands of PML-N and PPP
B- Sehat Card
C- Panagahain, Langarkhanay, Ehsas program
D- his philanthropic work and so on…
Perhaps, people wouldn’t be treating him as only hope, had pdm done anything for public relief."
471,"@MaleehaHashmey @USMANME88512866 Patwariyoon ko woh project project hi nae lagta jisnay Shareef Family ki jaib mai paisa na naye
Sehat card was more than enough for the whole nation to stand behind IK lkn asal mai usmay Pmln ka paisa nae bana tu woh project nae consider hu ga simple is that"
472,"Wishing you and your loved ones a very happy and blessed Ramadan. May this holy month bring you closer to Allah and His infinite mercy.

Ramadan Kareem Mubarak! https://t.co/5pqGpBmtDN"
473,@MaleehaHashmey @USMANME88512866 Kp k hospital daikho . Sehat card daikho school daikho.
474,"@USMANME88512866 7 million families will receive Sehat Sahulat Card in Punjab during the current year. 4.6 million families have already received it. All these families would have insurance coverage of Rs 1 million annually.
After Covid19 arrived, Imran Khan was the first leader who raised voice"
475,"@USMANME88512866 1.2 million families of Azad Kashmir to get Sehat Sahulat card with insurance coverage of Rs 1 million per family annually.
Tax collection was increasing at a rate of 17% before Covid19 arrived. Hundreds of thousands of new filers had registered with the FBR."
476,"@USMANME88512866 Modi exposed across the globe, Kashmir issues raised at international forums, India isolated.
10 billion tree Tsunami project praised across the globe and being replicated by other developed counties.
Sehat Sahoolat card being provided to every family in KPK and PUNJAB"
477,"Sehat card is Pml n project not Pti. Pti hijacked. Single curriculum was never done. One of my cousin got responsibility of maths syllabus but no result. Ehsaas program me is child program me of bisp. All panah gaas , musafir khanay was funded by selani trust. Ik just"
478,@MaleehaHashmey @USMANME88512866 Also mentioned those low quality medicines which are in sehat card
479,"@MaleehaHashmey @USMANME88512866 State Bank's reserves have increased from $9.7 Billion to $12.3 Billion in 22 months.
1.2 million families of Azad Kashmir to get Sehat Sahulat card with insurance coverage of Rs 1 million per family annually.
Tax collection was increasing at a rate of 17% before Covid19 arrived."
480,"@USMANME88512866 one the best project PDM 
then Sehat card
ehasas
Shelter home
low cost housing schemes
langar khanay
free food
what else 
now you have 5 minutes to enlist 1 PDM projects in last one year"
481,"@MaleehaHashmey @USMANME88512866 Modi exposed across the globe, Kashmir issues raised at international forums, India isolated.
10 billion tree Tsunami project praised across the globe and being replicated by other developed counties.
Sehat Sahoolat card being provided to every family in KPK and PUNJAB"
482,@YeniKayiBey @FarhadShahid74 @FarooquiJameel Osama hun pka confirm ho gya teri baji da sehat card pe kaka aya 😂😂😂😂😂
483,"@Na_ji0 @United_World__ @QMAAsif If you know the quality of that lense which they are using in sehat sahulat card,you really dont decide this treatment for your mother,eyes are so precious,very delicate surgery,and lense under sehat sahulat card is lowest quality"
484,"@MaleehaHashmey @USMANME88512866 Sehat card: When there is a huge current account and budget deficit than there is no need to give this card to every citizen...there must be a rationale to do this
Academic curriculum: Only in news nothing more
Exports: due to COVID, orders shift to Pakistan"
485,"In case of any guidance or Complaints regarding the SEHAT CARD, please contact the TOLL-FREE Number 0800-09009.

#phimcpk #SehatCard https://t.co/PAdwRWJHiV"
486,"@United_World__ My mother treatment was free because of sehat card two years ago , operation cost was 40000"
487,@MaleehaHashmey @USMANME88512866 #SehatCard was awesome of all projects.
488,"@USMANME88512866 I'm pro Pakistan. Now coming to your question:

Imran Khan launched Sehat Card providing FREE medical treatment worth over a MILLION rupees

UNIFORM academic curriculum

Inheritance rights to women

Ehsaas Program for less privileged

Record HIGH exports &amp; textile sector growth"
489,"@siscaaleehz Renjun birthday card
doa nya untuk baby kita semoga sehat terus ya sayang, banyak banyak konten yang bikin kamu seneng, lakuin banyak hal yang bikin kamu bahagia, semoga banyak hal baik yang akan datang ke kamu🧡
HAPPY RENJUN DAY
#Golden323RenjunDay
#RENJUN https://t.co/KEEcwyGFJp"
490,@United_World__ same here bro  estaraha ki 3 raseed or hai merinpas sab sehat card se ho raha hai ALLAH imran khan ko or power dy 🤲🏻🤲🏻🤲🏻 https://t.co/pnWJZ5T2fA
491,@QR_535 I'm beneficiary of Sehat card. My treatment had done without any charges. How this gay confidentlay lied on that scheme.
492,"صحت کارڈ کے حوالے سے تمام تر معلومات، اپنی اہلیت اور ہسپتالوں کی تفصیلات وغیرہ جاننے کے لیے ""صحت کارڈ"" کی ایپ ڈاؤن لوڈ کریں۔

Android: https://t.co/hSlISayDZB
iOS: https://t.co/JKVxtDUo9C

#phimcpk #SehatCard https://t.co/WU2O2IZqQH"
493,"@siscaaleehz @Haiieverybody_ semoga renjunn sehat selalu, mau birthday card https://t.co/NEP83ZshAS"
494,IK sehat card &amp; Shakut Khanum venture is way ahead and better than zardaris and shareefs all work they have done
495,"صحت کارڈ کے تحت علاج کی بلا تعطل اور بر وقت فراہمی کے لئے خاندان کے تمام افراد کے کوائف کانادرامیں درست اور مکمل اندراج ضروری ہے۔

#phimcpk #SehatCard https://t.co/e9YwlUN99z"
496,"𝗦𝗠𝗦 𝘆𝗼𝘂𝗿 𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗶𝗱𝗲𝗻𝘁𝗶𝘁𝘆 𝗰𝗮𝗿𝗱 𝗻𝘂𝗺𝗯𝗲𝗿 𝘁𝗼 𝟴𝟱𝟬𝟬 𝗮𝗻𝗱 𝗰𝗵𝗲𝗰𝗸 𝘆𝗼𝘂𝗿 𝗲𝗹𝗶𝗴𝗶𝗯𝗶𝗹𝗶𝘁𝘆 𝙛𝙤𝙧 𝑺𝒆𝒉𝒂𝒕 𝗰𝗮𝗿𝗱 .

#phimcpk #SehatCard https://t.co/3i4I0Anrrm"
497,"Every sensible person is with Imran Khan, 
Imran Khan was giving the nation even in Covid,
Petrol 150
Dollar 178
Flour 65
Milk 120
Rice 250
Chicken 300
Sehat Card 1 M
Subsidiaries on Electric Gas Petrol
Record Export &amp; GDP
3 Cancer Hospital
Dams
Ehsas program
Islamophobia day"
498,"@SIYASIDERA Every sensible person is with Imran Khan, 
Imran Khan was giving the nation even in Covid,
Petrol 150
Dollar 178
Flour 65
Milk 120
Rice 250
Chicken 300
Sehat Card 1 M
Subsidiaries on Electric Gas Petrol
Record Export &amp; GDP
3 Cancer Hospital
Dams
Ehsas program
Islamophobia day"
499,"@ImranKhanPTI was a big criminal that he gave sehat card (health insurance) to poor and underprivileged people with a limit of Rs 10 lakh. Yes, he deserved to be overthrown from power because he challenged the monopolists!

@TeamFOIK__
#عوام_کرے_گی_فیصلہ https://t.co/yGfjKniMAw"
